number,first_name,last_name,gender,birth_date,employment_status,annual_salary,output
606,Lorrie,Crist,F,25-07-1981,PE,111104,no
364,Korbin,Ondricka,M,19-12-1981,TE,121109,no
607,May,Doyle,F,21-06-1992,PE,65658,yes
222,Elodie,Heller,M,15-06-1998,PE,131562,no
477,Nathaly,Adams,M,29-01-1974,PE,100052,no
954,Margarite,Cassin,F,10-07-1981,PE,61076,yes
743,Zack,Kling,F,21-11-1981,PE,138431,no
606,Vela,Lueilwitz,M,13-11-1979,TE,61581,yes
225,Michaela,Sanford,F,05-05-1976,PE,70382,yes
997,Brook,Turner,M,21-06-1990,,80734,yes
275,Moody,Fritsch,F,02-10-1992,PE,62066,yes
266,Giovani,Friesen,F,26-03-1980,CA,87001,yes
924,Takisha,Stanton,F,19-06-1996,PE,100116,no
863,Eileen,Boyle,F,25-05-1995,CA,96924,yes
681,Triston,Yundt,F,29-03-1970,TE,86467,yes
942,Kaiya,Legros,,15-10-1986,,63683,yes
10,Saige,Casper,M,03-08-1990,,61597,yes
884,Pablo,Bogan,M,03-11-1989,,123759,no
901,Lary,Krajcik,M,30-08-1993,PE,73623,yes
630,Iola,Hilpert,M,01-12-1974,,100923,no
219,Vicente,Wiegand,M,07-04-1992,PE,67066,yes
476,Jerrilyn,Jakubowski,,17-06-1975,TE,88637,yes
597,Tessa,Howell,,07-10-1982,PE,83065,yes
500,Torrance,Hahn,,13-06-1994,PE,89393,yes
353,Gigi,Heathcote,,26-01-1997,PE,143397,no
345,Jajuan,Leffler,M,15-04-1981,,92701,yes
261,Garey,Vandervort,F,19-07-1971,PE,67132,yes
624,Serenity,Senger,F,19-04-1993,TE,85681,yes
747,Vernia,Ritchie,M,25-10-1988,,70673,yes
762,Geary,Nienow,M,03-11-1980,PE,59300,yes
387,Iva,Green,F,30-07-1978,PE,67147,yes
824,Kami,Langworth,M,22-08-1996,PE,72960,yes
65,Faith,Becker,F,16-12-1992,PE,99575,yes
662,Sherwin,Witting,F,01-05-1977,PE,73338,yes
462,Penelope,Crona,M,12-06-1999,PE,80458,yes
341,Helena,Runte,,09-12-1996,PE,60112,yes
161,Zion,Cronin,,30-09-1991,PE,115523,no
708,Opal,Koelpin,M,21-02-1975,PE,132691,no
997,Agusta,Emmerich,M,05-12-1972,PE,114085,no
687,Christa,King,F,25-03-1994,CA,128960,no
213,Lyn,Bechtelar,F,27-04-1990,TE,104808,no
544,Karol,Parisian,M,01-06-1992,TE,99501,yes
553,Brandi,Klein,F,19-10-1976,PE,71013,yes
885,Elvis,Medhurst,F,25-08-1987,CA,141046,no
799,Clemens,Heathcote,F,15-08-1985,PE,107976,no
846,Cleo,O'Kon,M,22-12-1974,PE,108288,no
302,Vernell,Schmidt,F,08-08-1983,,123021,no
878,Monnie,Mante,F,29-06-1997,TE,91829,yes
33,Brittnay,Yundt,,30-09-1984,PE,70648,yes
866,Corinna,Parker,F,04-03-1985,CA,84403,yes
90,Greyson,Bruen,F,30-10-1972,CA,144889,no
801,Kazuko,Bechtelar,,03-04-1995,PE,97902,yes
645,Kayley,Predovic,F,20-05-1973,,108400,no
464,Texanna,Rohan,F,09-09-1997,PE,140536,no
739,Camille,Renner,,07-01-1988,,121689,no
586,Arianna,Gorczany,F,15-10-1973,,87397,yes
148,Celeste,Bernhard,M,24-04-1973,CA,76386,yes
957,Nettie,Monahan,,06-07-1998,PE,91047,yes
353,Annika,Runte,M,24-07-1992,,62438,yes
328,Otha,Keebler,F,04-02-1990,PE,141310,no
446,Jan,Fahey,M,25-10-1987,PE,144382,no
583,Wally,Cremin,F,04-12-1978,PE,110306,no
143,Miranda,Hagenes,M,21-04-1980,TE,68804,yes
326,Mandy,Greenfelder,,16-11-1995,PE,79047,yes
449,Tyquan,Sanford,F,10-09-1982,,111819,no
806,Clair,Stokes,M,31-08-1978,PE,76691,yes
846,Rutha,Emmerich,F,16-12-1993,CA,73547,yes
360,Claud,Schultz,,04-12-1971,PE,73087,yes
492,Claudine,O'Conner,,12-07-1994,,61888,yes
430,Joseph,Reynolds,M,28-12-1977,PE,97293,yes
476,Lamonte,Rolfson,M,27-09-1979,PE,68661,yes
12,Alesia,Hirthe,M,21-04-1979,PE,126664,no
395,Abie,Kuhn,F,13-09-1981,PE,109730,no
631,Becky,Murazik,F,26-03-1987,PE,112854,no
80,Zelpha,White,M,07-12-1999,PE,84398,yes
517,Alice,Doyle,M,01-08-1998,PE,119391,no
617,Rickey,Aufderhar,,27-12-1994,PE,139864,no
387,Jalen,Waters,F,22-09-1980,PE,118124,no
782,Harmony,Witting,M,06-11-1987,PE,91591,yes
386,Delmas,Daugherty,,13-02-1997,,69926,yes
541,Ruth,Eichmann,,19-03-1973,,98816,yes
682,Shawanda,Harber,F,29-01-1990,PE,130551,no
8,Paola,Kilback,F,09-11-1981,PE,61536,yes
374,Birt,Farrell,F,31-08-1971,PE,86943,yes
362,Janyce,Yundt,F,18-01-1983,PE,82091,yes
372,Mauricio,Bergnaum,F,25-07-1975,CA,140239,no
445,Darrius,Roberts,,21-01-1977,PE,56414,yes
607,Garvin,Hermann,,21-11-1988,PE,138378,no
984,Felicity,Renner,M,14-08-1978,PE,81751,yes
762,Jerica,Sauer,M,12-03-1982,,120954,no
615,Kyleigh,Rutherford,F,12-12-1997,PE,67230,yes
270,Loula,Hahn,F,23-09-1998,PE,107869,no
817,Lacey,Dickens,F,23-07-1971,,96147,yes
456,Denine,Crona,M,29-10-1981,PE,105854,no
765,Hildur,Marvin,,10-01-1989,PE,120225,no
428,Salomon,Carter,M,30-05-1987,,96431,yes
951,Emery,Steuber,M,09-02-1988,,77892,yes
289,Uriah,Bashirian,M,22-03-1974,PE,102185,no
705,Kathyrn,Balistreri,F,06-03-1999,PE,68773,yes
37,Jolette,Marks,M,12-10-1977,,132173,no
185,Wally,Hirthe,M,20-07-1991,PE,129998,no
939,Kennard,Hintz,M,12-06-1988,PE,71052,yes
695,Mack,Nolan,F,26-01-1998,PE,121793,no
288,Rubie,Hartmann,M,06-09-1996,PE,64643,yes
244,Helene,Medhurst,M,13-08-1982,PE,123711,no
725,Nova,Klein,F,28-12-1973,PE,123331,no
227,Leone,Upton,M,08-03-1988,CA,148436,no
676,Jaelynn,Morissette,M,24-01-1981,,96862,yes
480,Jarrad,Schmitt,,19-02-1988,PE,126906,no
251,Burnie,Marvin,,16-02-1998,PE,76057,yes
513,Devyn,O'Conner,M,12-01-1994,PE,130685,no
281,Alston,Davis,F,05-08-1970,,123387,no
216,Jazlyn,Davis,M,11-04-1994,CA,118945,no
979,Emery,Conn,M,23-10-1995,PE,138214,no
48,Ruffin,Medhurst,M,13-11-1994,PE,67369,yes
632,Sharonda,Doyle,M,22-10-1982,PE,71172,yes
793,Laurene,Kohler,M,15-02-1978,PE,121461,no
967,Novella,Streich,,05-06-1992,PE,127460,no
110,Benny,Jenkins,,11-11-1973,TE,86686,yes
310,Tolbert,Trantow,M,07-09-1994,PE,91941,yes
914,Tab,Zulauf,M,15-06-1991,PE,68168,yes
284,Francies,McGlynn,F,05-05-1991,PE,131460,no
310,Sammy,Dickinson,F,20-04-1996,PE,136082,no
509,Clemens,West,,12-10-1981,PE,134268,no
520,Olan,Homenick,,07-09-1991,TE,148916,no
282,Waymon,Bauch,M,29-12-1973,PE,118954,no
721,Hasel,Leannon,M,31-07-1989,CA,121109,no
424,Gaylon,Fadel,,05-10-1991,TE,64107,yes
277,Rosanne,Heathcote,F,23-06-1993,,67357,yes
475,Abe,Schultz,M,15-11-1994,CA,71706,yes
963,Bea,Lueilwitz,F,16-01-1988,PE,85676,yes
82,Rennie,Koch,M,24-08-1993,TE,132854,no
400,Adonis,Kessler,M,01-11-1979,PE,86648,yes
627,Edwin,Abbott,M,21-12-1979,,139549,no
317,Arthur,Beatty,M,04-07-1974,,89660,yes
126,Ulises,Nicolas,F,30-04-1995,PE,134165,no
673,Demian,Barrows,F,29-07-1980,PE,74930,yes
818,Racheal,Funk,M,23-01-1988,PE,120223,no
509,Kendall,Harvey,M,18-10-1975,CA,142874,no
313,Danette,Ward,,30-07-1987,TE,129422,no
392,Karma,Shields,F,16-07-1983,TE,103352,no
632,Linette,Mante,,27-05-1997,PE,146708,no
303,Martell,Kassulke,,20-02-1972,TE,127189,no
82,Gwyneth,Prosacco,,13-09-1995,PE,55602,yes
928,Domenico,Howe,,19-01-1973,PE,136394,no
318,Bev,Schuster,F,23-06-1981,PE,69093,yes
160,Zita,Hermiston,M,29-04-1997,PE,128330,no
672,Fannie,Lemke,M,04-09-1990,PE,85872,yes
548,Francine,Mayer,M,17-02-1997,PE,80200,yes
733,Lilla,Blanda,,14-11-1978,PE,66934,yes
21,Elaine,Barrows,M,08-06-1983,PE,59553,yes
428,Marylee,Schimmel,F,29-06-1998,PE,98535,yes
109,Joselyn,Schmeler,M,23-06-1970,PE,84979,yes
66,Savilla,Bernier,F,16-07-1974,PE,122832,no
184,Sheree,Morar,M,22-03-1997,CA,86222,yes
366,June,Hamill,,04-02-1981,TE,74381,yes
410,Johan,Haag,F,08-06-1975,PE,118838,no
277,Bliss,Abshire,F,20-08-1985,PE,106218,no
489,Karma,Herman,F,22-12-1994,PE,111818,no
368,Celia,Konopelski,F,08-01-1986,PE,61724,yes
826,Braydon,Ritchie,F,17-05-1995,PE,60911,yes
514,Mickey,Pagac,F,23-05-1984,CA,133279,no
177,Carmelita,Bednar,M,22-02-1997,,71107,yes
438,Gracelyn,Friesen,M,07-08-1974,PE,73455,yes
263,Lorrayne,Volkman,M,13-11-1988,TE,121555,no
779,Codey,Nitzsche,F,18-06-1981,CA,85500,yes
631,Milan,O'Conner,M,01-07-1975,,116626,no
108,Myrta,Kuvalis,M,24-01-1990,PE,106103,no
208,Minerva,Sawayn,M,09-08-1979,CA,139741,no
634,Corina,Schowalter,,02-03-1974,PE,91252,yes
575,Qiana,Gutkowski,,25-10-1971,PE,115611,no
789,Reid,Tromp,M,20-08-1990,,136597,no
981,Keanna,Nicolas,F,08-05-1994,PE,64265,yes
76,Wilhelm,Halvorson,M,18-06-1984,,56856,yes
627,Alphonsine,Bode,F,13-07-1978,PE,72830,yes
484,Aryana,Hammes,M,19-06-1973,PE,93551,yes
193,Imanol,Streich,M,30-09-1974,PE,76056,yes
570,Corda,Lowe,,18-04-1979,,70581,yes
983,Rosendo,Rau,F,06-11-1987,PE,80392,yes
473,Misti,Hammes,M,14-05-1970,,117924,no
744,Ivory,Mante,M,04-09-1984,CA,81133,yes
34,Aimee,Sauer,M,18-11-1992,CA,125785,no
99,Austin,Hahn,F,01-05-1975,,88848,yes
257,Vergie,Tremblay,F,09-12-1987,CA,149999,no
142,Ashby,Waelchi,F,12-08-1985,,119416,no
172,Medora,Wisoky,M,13-09-1994,PE,113470,no
924,Ocie,Lakin,M,09-12-1970,TE,71623,yes
632,Josephus,Collier,M,13-11-1986,,103524,no
267,Karlee,Labadie,M,17-11-1975,PE,108276,no
391,Raekwon,Kuhn,F,06-02-1972,CA,149482,no
673,Haleigh,Herzog,M,24-07-1994,,115672,no
472,Johny,Volkman,M,25-07-1998,PE,143599,no
438,Blanchard,Ryan,M,15-01-1997,PE,138655,no
222,Yaakov,Skiles,,17-05-1988,,134281,no
335,Antionette,Morar,,13-09-1973,,76351,yes
535,Armani,McClure,F,20-06-1973,TE,110082,no
46,Nevada,Kunde,F,10-05-1986,PE,112824,no
824,Brendan,Block,F,10-10-1996,TE,123597,no
47,Deasia,Herzog,M,15-08-1972,CA,102541,no
398,Alene,Kuvalis,F,11-10-1973,PE,103230,no
498,Christion,Jones,,20-10-1987,CA,119208,no
717,Helyn,Fadel,F,05-09-1985,PE,70770,yes
805,Blanche,Abernathy,,25-06-1989,PE,77772,yes
983,Gerald,Pfeffer,M,25-03-1999,CA,97350,yes
919,Carter,Howe,F,12-08-1978,PE,109318,no
353,Hayden,Koepp,F,01-01-1991,PE,119933,no
900,Encarnacion,Hand,,11-06-1977,PE,77769,yes
835,Vikki,Schiller,M,31-10-1984,PE,72145,yes
758,Avis,Hayes,M,01-02-1987,,67180,yes
108,Meryl,Wunsch,M,04-11-1999,TE,73793,yes
900,Talmage,Kirlin,F,07-02-1977,TE,118016,no
297,Clemmie,Crist,M,24-04-1988,CA,67216,yes
837,Nikhil,Lemke,F,06-06-1982,PE,109382,no
413,Keeley,Conroy,F,17-01-1970,PE,55726,yes
791,Asia,Hane,F,20-12-1995,,110038,no
551,Arden,Hoeger,F,25-04-1988,,89713,yes
175,Melton,Sporer,,24-11-1994,CA,115644,no
344,Elyse,Stroman,F,24-01-1975,PE,107074,no
94,Samara,Erdman,F,29-10-1991,PE,119930,no
188,Gracie,Shanahan,M,21-09-1992,PE,61106,yes
867,Greta,Dickinson,F,29-04-1990,PE,81093,yes
291,Solomon,Ziemann,M,30-05-1975,,86358,yes
273,Davis,Price,,17-03-1990,PE,81471,yes
744,Viridiana,Beahan,F,29-03-1986,PE,142546,no
961,Meryl,Hammes,F,31-03-1974,,145884,no
570,Chimere,Wunsch,F,13-08-1997,PE,94717,yes
453,Lucretia,Mante,F,24-10-1976,PE,98550,yes
446,Kristian,Heidenreich,F,11-07-1975,PE,146795,no
358,Payton,Homenick,,02-03-1994,,59924,yes
270,Rigoberto,Swift,,27-12-1986,PE,133069,no
348,Tiffanie,Hessel,F,09-03-1987,PE,64381,yes
410,Emeline,Jast,M,08-12-1994,PE,129714,no
343,Eldred,Hahn,M,02-09-1998,PE,146067,no
204,Selah,Pfeffer,,20-04-1991,,90609,yes
866,Park,Harber,M,23-12-1989,PE,94897,yes
116,Eboni,Feest,M,13-06-1981,,140226,no
520,Inga,Boehm,M,08-05-1976,PE,129020,no
198,Acy,Paucek,M,17-11-1992,,146126,no
937,Rylan,Stroman,M,24-06-1971,PE,141575,no
675,Madden,Hessel,M,21-08-1978,PE,137376,no
50,Lavada,Schmidt,M,15-05-1987,,101898,no
784,Julisa,Murazik,,30-09-1987,PE,75235,yes
554,Denisha,Price,M,21-06-1999,PE,87662,yes
941,Jose,Breitenberg,F,02-07-1985,,142567,no
889,Hollie,Muller,,04-04-1973,CA,116101,no
327,Renea,Erdman,M,03-08-1986,PE,64245,yes
847,Dequan,Brown,,29-05-1986,PE,119370,no
512,Sybilla,Kreiger,M,20-09-1981,PE,89122,yes
163,Ester,Emmerich,M,13-08-1989,,134033,no
98,Carmen,Macejkovic,,13-06-1987,PE,128497,no
110,Julie,Wiegand,F,24-05-1982,PE,141991,no
167,Nick,Little,M,20-08-1980,PE,103003,no
326,Denton,Becker,F,13-05-1984,PE,60045,yes
351,Kurt,Nikolaus,F,14-12-1980,PE,101337,no
352,Austin,Collins,,12-01-1991,,59530,yes
743,Katerina,Runolfsson,F,05-07-1990,PE,87137,yes
569,Fernanda,Anderson,,11-11-1973,PE,100056,no
36,Ardell,Von,M,03-03-1989,CA,110429,no
684,Ethelbert,Koch,F,15-04-1972,PE,124780,no
84,Akeelah,Kris,M,22-02-1981,PE,123656,no
157,Shana,Prosacco,,01-11-1973,PE,64181,yes
474,Carey,Harber,,09-05-1990,PE,140852,no
12,Ursula,Wintheiser,M,26-11-1999,,135046,no
124,Alaina,Hilpert,,09-01-1987,PE,62046,yes
12,Javion,Moore,M,13-02-1976,,137513,no
427,Kelsey,Feil,F,14-04-1981,TE,122762,no
414,Almeda,Murazik,M,12-03-1988,TE,134422,no
237,Lauri,Hodkiewicz,,09-05-1975,,59596,yes
445,Octavia,Cormier,F,21-03-1978,,80301,yes
439,Esther,Cartwright,M,14-09-1998,,85697,yes
253,Margot,Connelly,F,30-04-1982,,75082,yes
558,Monroe,Pacocha,M,22-08-1986,PE,122011,no
705,Elmo,Jacobson,M,26-01-1982,PE,104313,no
208,Jedidiah,Zieme,,20-10-1999,CA,85879,yes
51,Berkley,Nader,M,05-01-1982,PE,69904,yes
36,Einar,Beier,F,06-09-1971,,113541,no
780,Casen,Rowe,M,22-04-1990,,120179,no
996,Linnie,Larson,F,04-03-1980,PE,92815,yes
366,Karel,McLaughlin,M,14-05-1984,TE,84829,yes
892,Theta,Kirlin,M,29-08-1975,PE,115004,no
745,Anjanette,Marvin,F,11-08-1996,,74834,yes
537,Clarence,Kemmer,,05-01-1993,,89101,yes
98,Leroy,Kuhic,F,18-12-1992,CA,149322,no
527,Aurora,Fritsch,M,12-05-1970,CA,132233,no
780,Destiny,Kirlin,M,30-09-1994,CA,120558,no
558,Miley,Kshlerin,M,21-11-1994,,66572,yes
797,Corinne,Becker,,24-03-1996,,121953,no
130,Oney,Purdy,M,20-12-1976,PE,59579,yes
735,Davon,Conn,,04-02-1971,,126723,no
490,Chace,Crist,F,02-01-1985,PE,71364,yes
971,Elvis,Bosco,,07-03-1977,PE,130542,no
31,Jory,Waters,,05-10-1970,,80945,yes
285,Pennie,Goodwin,,26-03-1997,PE,76698,yes
609,Arbie,Wiza,,07-12-1993,PE,82997,yes
370,Theresa,Gulgowski,M,10-01-1975,,81277,yes
340,Osie,Bruen,M,18-08-1979,TE,85492,yes
160,Kelley,Stiedemann,,14-09-1977,PE,78564,yes
646,Nova,Predovic,,25-01-1997,PE,103012,no
841,Annamarie,Blanda,M,23-03-1982,PE,106169,no
39,Gilda,Gerlach,F,25-06-1987,PE,58922,yes
759,Selene,Grady,,31-03-1991,PE,139412,no
520,Kasey,Christiansen,,09-08-1976,CA,121419,no
635,Lolita,Kuvalis,F,29-07-1988,PE,140096,no
753,Jayne,Blanda,M,23-01-1987,PE,92728,yes
245,Rico,Wilderman,M,29-12-1970,PE,73523,yes
177,Alena,Johns,M,30-07-1980,PE,64689,yes
668,Lorinda,Rogahn,,20-10-1991,PE,95436,yes
329,Elizabet,Dickinson,F,13-03-1985,CA,117526,no
954,Carin,Prosacco,M,24-06-1987,TE,143630,no
449,Eugenia,Will,F,17-08-1976,PE,66967,yes
457,Dorathy,Senger,M,26-12-1993,CA,64114,yes
522,Sannie,White,M,13-05-1975,,117537,no
928,Ottis,Collier,M,20-11-1993,PE,109456,no
702,Clella,Greenholt,,01-06-1994,PE,121203,no
845,Candace,Predovic,M,02-03-1986,TE,98922,yes
232,Marland,Bayer,F,10-04-1991,TE,144022,no
411,Brody,Hegmann,F,22-04-1978,PE,132509,no
965,Sudie,Mayert,M,27-08-1994,,115256,no
541,Madalyn,Dach,M,11-07-1979,PE,143222,no
983,Randell,Dickens,M,27-06-1981,PE,98427,yes
260,Hillard,Aufderhar,,21-01-1985,PE,93850,yes
5,Carly,Ratke,M,16-01-1998,PE,88315,yes
953,Pleas,Flatley,M,24-12-1973,PE,72630,yes
600,Ewell,Hammes,M,05-09-1972,PE,119049,no
462,Helena,Denesik,M,15-01-1975,PE,57771,yes
725,Corene,Boehm,M,11-02-1972,TE,76070,yes
520,Octavio,Emard,,29-01-1975,PE,133131,no
279,Jarod,Jerde,,30-01-1979,PE,113984,no
745,Tremaine,Stanton,F,29-07-1973,PE,115953,no
154,Jiles,Osinski,M,03-12-1981,,59309,yes
854,Ama,Hilll,,10-08-1997,,98448,yes
729,Abril,Hansen,,25-01-1971,TE,66703,yes
745,Stephenie,White,M,11-01-1995,PE,109304,no
847,Cory,Funk,F,18-02-1999,PE,80614,yes
749,Berneice,Wilkinson,M,15-08-1979,PE,91162,yes
777,Charlsie,Schuppe,,24-03-1976,PE,78911,yes
229,Octave,Grant,,28-04-1975,,69936,yes
176,Breonna,Schaefer,F,28-06-1982,PE,105640,no
517,Ashley,Emard,F,09-01-1971,PE,149670,no
163,Offie,Bernier,M,18-12-1983,PE,89910,yes
191,Denice,Hand,F,29-10-1994,TE,83935,yes
775,Verna,Kunze,F,05-08-1991,PE,100598,no
191,Jacquez,Halvorson,F,03-08-1991,PE,55690,yes
211,Savon,Lubowitz,M,11-11-1972,PE,110521,no
936,Freda,Dare,,04-03-1970,PE,97777,yes
769,Ardell,Carter,F,09-07-1993,TE,129321,no
719,Leola,Schroeder,F,31-12-1972,PE,72369,yes
213,Willie,O'Keefe,F,12-01-1998,PE,124504,no
242,Clemence,O'Connell,F,24-06-1984,PE,92830,yes
930,Joshuah,O'Keefe,M,05-01-1974,CA,142896,no
141,Thurman,Bosco,F,29-06-1973,PE,130265,no
813,Cyril,Fahey,M,16-04-1971,CA,146821,no
227,Xiomara,Armstrong,,29-07-1996,PE,145164,no
62,Jarred,Kilback,M,28-03-1990,PE,56123,yes
476,Claiborne,Lockman,F,21-12-1980,PE,87904,yes
801,Raven,Hammes,M,20-06-1988,,97382,yes
362,Woodson,Dietrich,,31-05-1992,PE,77757,yes
452,Brittaney,Wisoky,M,03-02-1974,PE,114863,no
321,Lim,Schmitt,M,19-02-1974,CA,128365,no
80,Adella,Hintz,F,21-12-1970,PE,116692,no
466,Isom,Hartmann,,28-07-1986,TE,144872,no
884,Nelly,Kiehn,F,23-10-1970,,59296,yes
188,,,,,,,yes
101,Delvin,Schuppe,M,05-06-1997,PE,62462,yes
720,Alfred,Wiza,F,20-02-1999,TE,61723,yes
73,Gregorio,Christiansen,M,25-07-1986,TE,112205,no
599,Echo,Lowe,F,29-12-1984,PE,58458,yes
781,Romeo,Kohler,F,30-09-1970,CA,75400,yes
508,Ally,Turcotte,,30-06-1994,PE,130803,no
415,Quintin,Halvorson,M,07-06-1976,,81527,yes
36,Lukas,Kunze,,29-09-1996,TE,139432,no
584,Kymani,Erdman,,13-05-1989,TE,82247,yes
516,Sherrie,Parker,,17-11-1977,CA,115952,no
277,Meta,Denesik,F,21-12-1971,PE,65794,yes
5,Christopher,D'Amore,F,16-03-1974,PE,103614,no
790,Johnny,Wehner,F,04-07-1974,,72728,yes
21,Ezequiel,Baumbach,M,19-12-1992,PE,131575,no
747,Charley,Hessel,M,23-03-1998,PE,90608,yes
137,Winston,Sipes,M,22-05-1998,PE,106134,no
600,Lani,Lang,M,06-07-1974,,105188,no
269,Kiya,Reynolds,F,01-04-1981,,100427,no
222,Beckie,Welch,F,13-05-1983,,85858,yes
73,Brandon,Stokes,F,23-01-1980,,117282,no
681,Kassie,Rogahn,F,23-09-1985,PE,110676,no
459,Claiborne,Kuhn,F,15-05-1995,PE,58088,yes
710,Noreen,Bayer,M,26-07-1985,,131732,no
814,Chaya,Zboncak,M,16-05-1989,PE,62362,yes
267,Eliot,Johnston,M,27-10-1979,PE,121358,no
765,Kristen,Bechtelar,,17-06-1994,TE,95144,yes
666,Alysha,Greenholt,,24-01-1984,TE,141005,no
910,Dereck,Jacobson,F,27-01-1977,,79325,yes
583,Mabel,O'Hara,F,28-10-1982,PE,136284,no
985,Elba,Predovic,F,17-08-1990,PE,104396,no
735,Lucius,Kautzer,F,24-07-1994,CA,77156,yes
947,Kirby,Schmitt,M,19-01-1970,PE,138064,no
57,Jamin,Gerhold,M,09-08-1996,PE,114066,no
866,Evonne,Conn,M,21-09-1992,PE,55730,yes
126,Redmond,Zieme,M,06-04-1979,CA,90315,yes
886,Ambers,Bergstrom,F,26-04-1975,,119200,no
149,Sheilah,Hoeger,F,11-12-1990,PE,57102,yes
460,Erin,Schmidt,,30-11-1996,PE,107436,no
928,West,Blanda,M,21-08-1999,PE,71422,yes
396,Rudolfo,Schumm,F,06-08-1987,CA,110232,no
640,Clint,Feil,F,18-12-1975,PE,120068,no
784,Duard,Reichert,F,22-05-1984,PE,146078,no
254,Leonor,Reynolds,F,09-04-1989,CA,79301,yes
814,Laddie,Stroman,F,11-01-1996,PE,72613,yes
124,Edrie,Wilderman,F,03-02-1976,,117636,no
873,Minta,Schmitt,F,17-04-1972,CA,108987,no
337,Carlota,Ruecker,,14-05-1973,PE,141437,no
147,Bryan,Schulist,M,10-09-1972,PE,146652,no
889,Zechariah,Will,F,27-06-1977,PE,127310,no
354,Levon,Reinger,F,10-01-1980,PE,100738,no
980,Gisselle,Goodwin,M,02-01-1990,TE,136427,no
328,Randal,Greenholt,F,05-05-1996,CA,121584,no
207,TRUE,Mante,M,29-04-1984,TE,84350,yes
517,Dinah,Ortiz,,21-07-1991,,129401,no
281,Simon,Ortiz,F,18-05-1978,,67293,yes
390,Rosanne,Kihn,M,02-01-1990,PE,149941,no
309,Beatriz,Brakus,,12-07-1974,TE,118988,no
637,Iyanna,Bauch,F,12-06-1985,PE,117873,no
217,Ryann,Mertz,M,21-06-1997,,83567,yes
480,Guss,Schultz,,27-04-1996,PE,95139,yes
690,Dejah,Mertz,F,06-08-1978,PE,113054,no
492,Irl,Okuneva,M,04-10-1981,PE,58334,yes
126,Rayfield,Armstrong,,16-01-1974,PE,121744,no
797,Oline,Bednar,F,02-11-1992,TE,121636,no
679,Marie,Gibson,M,22-03-1982,,138310,no
217,Adrian,Christiansen,F,20-05-1992,PE,118067,no
775,Anfernee,Mitchell,F,17-05-1988,PE,92425,yes
599,Joshuah,Walker,F,12-04-1982,TE,127064,no
908,Angella,Stanton,F,02-08-1995,,104029,no
824,Mathilda,Cormier,F,07-08-1978,TE,140012,no
698,Elvis,Kunze,M,19-06-1979,PE,138143,no
841,Sarai,Heidenreich,F,08-03-1983,PE,76742,yes
54,Keandre,Herzog,M,27-06-1991,PE,133885,no
818,Mikeal,Deckow,M,05-12-1970,TE,99191,yes
792,Akeem,Mann,F,26-11-1974,PE,120863,no
906,Augustin,Bins,,27-06-1987,PE,136597,no
751,Eric,Gislason,,29-10-1984,TE,70713,yes
43,Montel,Kunde,F,29-07-1996,CA,105292,no
628,Lucretia,Shanahan,,02-07-1983,CA,128515,no
749,Drake,Conroy,F,28-11-1988,TE,146475,no
134,Seth,Schuppe,,23-11-1986,,148986,no
623,Tyrique,Gusikowski,F,10-02-1971,PE,145009,no
430,Stephan,Streich,,08-02-1995,PE,80348,yes
490,Beula,Koss,F,29-04-1971,,77730,yes
669,Evaline,Bashirian,,20-12-1988,PE,108479,no
920,Devan,Harris,M,26-09-1972,PE,124033,no
291,Berneice,Powlowski,,25-11-1980,PE,146171,no
363,Moody,Padberg,F,27-06-1996,PE,117535,no
378,Jeannine,Hyatt,,18-11-1970,PE,126739,no
710,Jaycee,Koss,M,15-10-1971,TE,147143,no
151,Truman,Hansen,M,15-01-1999,PE,108002,no
994,Gertie,Veum,M,16-11-1994,,78682,yes
430,Octavia,Schaefer,,23-02-1971,TE,119608,no
185,Thomas,Leffler,M,27-01-1991,PE,96328,yes
222,Caddie,Toy,F,16-12-1986,PE,74409,yes
921,Kory,Luettgen,M,28-04-1993,PE,70790,yes
218,Kaiden,Hayes,,06-04-1975,CA,143624,no
666,Ross,Konopelski,F,30-05-1999,,87013,yes
809,Milas,Williamson,F,02-11-1977,PE,93584,yes
233,Leo,Bartell,,07-07-1995,PE,74990,yes
607,Stuart,Cronin,F,18-11-1971,,128312,no
780,Elaine,Von,M,06-07-1972,PE,63224,yes
542,Casimer,Reynolds,M,06-01-1980,PE,76821,yes
75,Kayson,Towne,F,08-11-1980,TE,68757,yes
166,Ailene,Bradtke,M,27-10-1977,TE,126848,no
780,Hailey,Luettgen,M,25-02-1979,PE,64791,yes
660,Rebekah,Ullrich,F,04-12-1986,,118321,no
590,Santana,Jones,F,09-03-1999,TE,85004,yes
214,Debbie,Bayer,F,31-12-1983,PE,140985,no
34,Danyel,Considine,F,05-05-1973,PE,61059,yes
79,Dorsey,Zemlak,M,30-10-1988,,72049,yes
590,Deidre,Graham,F,18-02-1984,,85806,yes
233,Bryce,Beatty,M,15-12-1970,CA,57111,yes
860,Tera,Glover,M,07-04-1972,TE,123495,no
731,Abraham,Botsford,M,01-06-1990,,80828,yes
189,Clarke,Block,,10-07-1982,PE,80576,yes
668,Karrie,Prosacco,F,23-12-1970,PE,119203,no
160,Daniele,Kassulke,M,28-04-1989,PE,138123,no
56,Seth,Rippin,M,11-04-1976,PE,148561,no
406,Vida,Hintz,F,28-10-1971,PE,121373,no
91,Glennis,Abshire,M,19-01-1992,,104223,no
